======================================================================
OPTION STRATEGY BACKTEST ANALYSIS
======================================================================

Total Backtests: 135
[PROFITABLE] 60 (44.4%)
[LOSING] 75 (55.6%)

[PROFITABLE] STRATEGIES:
----------------------------------------------------------------------
15. Iron Condor          | 1week      | PnL: Rs -18423.07 | Win Rate:  50.0%
16. Iron Condor          | 1month     | PnL: Rs -18423.07 | Win Rate:  50.0%
17. Iron Condor          | 1week      | PnL: Rs -18423.07 | Win Rate:  50.0%
18. Iron Condor          | 1month     | PnL: Rs -18423.07 | Win Rate:  50.0%
19. Iron Condor          | 1week      | PnL: Rs -18423.07 | Win Rate:  50.0%
20. Iron Condor          | 1month     | PnL: Rs -18423.07 | Win Rate:  50.0%
21. Strangle             | yesterday  | PnL: Rs  -9076.62 | Win Rate:   0.0%
22. Strangle             | yesterday  | PnL: Rs  -9076.62 | Win Rate:   0.0%
23. Strangle             | yesterday  | PnL: Rs  -9076.62 | Win Rate:   0.0%
24. Strangle             | yesterday  | PnL: Rs  -9076.62 | Win Rate:   0.0%
25. Strangle             | yesterday  | PnL: Rs  -9076.62 | Win Rate:   0.0%
26. Bear Put Spread      | 1week      | PnL: Rs  -7597.60 | Win Rate:  50.0%
27. Bear Put Spread      | 1month     | PnL: Rs  -7597.60 | Win Rate:  50.0%
28. Bear Put Spread      | 1week      | PnL: Rs  -7597.60 | Win Rate:  50.0%
29. Bear Put Spread      | 1month     | PnL: Rs  -7597.60 | Win Rate:  50.0%
30. Bear Put Spread      | 1week      | PnL: Rs  -7597.60 | Win Rate:  50.0%
31. Bear Put Spread      | 1month     | PnL: Rs  -7597.60 | Win Rate:  50.0%
32. Bear Put Spread      | 1week      | PnL: Rs  -7597.60 | Win Rate:  50.0%
33. Bear Put Spread      | 1month     | PnL: Rs  -7597.60 | Win Rate:  50.0%
34. Bear Put Spread      | 1week      | PnL: Rs  -7597.60 | Win Rate:  50.0%
35. Bear Put Spread      | 1month     | PnL: Rs  -7597.60 | Win Rate:  50.0%
36. Protective Put       | 1week      | PnL: Rs  -7502.06 | Win Rate:   0.0%
37. Protective Put       | 1month     | PnL: Rs  -7502.06 | Win Rate:   0.0%
38. Protective Put       | 1week      | PnL: Rs  -7502.06 | Win Rate:   0.0%
39. Protective Put       | 1month     | PnL: Rs  -7502.06 | Win Rate:   0.0%
40. Protective Put       | 1week      | PnL: Rs  -7502.06 | Win Rate:   0.0%
41. Protective Put       | 1month     | PnL: Rs  -7502.06 | Win Rate:   0.0%
42. Protective Put       | 1week      | PnL: Rs  -7502.06 | Win Rate:   0.0%
43. Protective Put       | 1month     | PnL: Rs  -7502.06 | Win Rate:   0.0%
44. Protective Put       | 1week      | PnL: Rs  -7502.06 | Win Rate:   0.0%
45. Protective Put       | 1month     | PnL: Rs  -7502.06 | Win Rate:   0.0%
